[0.000s][0][[test]][ello love 2302]
[0.974s][59][[test]][AI switching right]
[1.079s][65][[test]][AI switching right]
[1.439s][87][[test]][AI switching right]
[2.290s][138][[test]][AI switching left]
[2.823s][170][[test]][AI switching right]
[2.998s][181][[test]][onObjectCollision at pair(992, 543)]
[2.998s][181][[test]][onObjectCollision at pair(964, 543)]
[3.018s][182][[test]][onObjectCollision at pair(963, 546)]
[3.369s][203][[test]][AI switching left]
[3.586s][216][[test]][onObjectCollision at pair(931, 627)]
[3.722s][224][[test]][AI switching left]
[3.915s][236][[test]][AI switching right]
[4.029s][243][[test]][AI switching right]
[4.391s][264][[test]][AI switching left]
[4.469s][269][[test]][AI switching left]
[4.602s][277][[test]][AI switching left]
[4.717s][284][[test]][AI switching right]
[4.937s][297][[test]][AI switching right]
[5.260s][302][[test]][AI switching right]
[5.311s][308][[test]][AI switching left]
[5.527s][321][[test]][AI switching left]
[5.651s][328][[test]][AI switching right]
[5.763s][335][[test]][AI switching left]
[5.863s][341][[test]][AI switching right]
[6.044s][352][[test]][AI switching left]
[6.260s][365][[test]][AI switching left]
[6.310s][368][[test]][AI switching right]
[6.381s][372][[test]][AI switching right]
[6.593s][385][[test]][AI switching right]
[6.785s][396][[test]][AI switching left]
[6.866s][401][[test]][AI switching left]
[6.998s][409][[test]][AI switching left]
[7.111s][416][[test]][AI switching right]
[7.326s][429][[test]][AI switching right]
[7.409s][434][[test]][AI switching right]
[7.509s][440][[test]][AI switching left]
[7.731s][453][[test]][AI switching left]
[7.843s][460][[test]][AI switching right]
[7.959s][467][[test]][AI switching left]
[8.059s][473][[test]][AI switching right]
[8.263s][484][[test]][AI switching left]
[8.407s][493][[test]][onObjectCollision at pair(1686, 966)]
[8.475s][497][[test]][AI switching left]
[8.540s][500][[test]][AI switching right]
[8.607s][504][[test]][AI switching right]
[8.831s][517][[test]][AI switching right]
[8.999s][527][[test]][onObjectCollision at pair(1488, 1005)]
[9.017s][528][[test]][AI switching left]
[9.101s][533][[test]][AI switching left]
[9.231s][541][[test]][AI switching left]
[9.348s][548][[test]][AI switching right]
[9.558s][561][[test]][AI switching right]
[9.645s][566][[test]][AI switching right]
[9.741s][572][[test]][AI switching left]
[9.966s][585][[test]][AI switching left]
[10.083s][592][[test]][AI switching right]
[10.193s][599][[test]][AI switching left]
[10.293s][605][[test]][AI switching right]
[10.413s][612][[test]][onObjectCollision at pair(1397, 993)]
[10.481s][616][[test]][AI switching left]
[10.559s][621][[test]][onObjectCollision at pair(892, 639)]
[10.691s][629][[test]][AI switching left]
[10.740s][632][[test]][AI switching right]
[10.806s][636][[test]][AI switching right]
[11.030s][649][[test]][AI switching right]
[11.210s][660][[test]][AI switching left]
[11.295s][665][[test]][AI switching left]
[11.421s][673][[test]][AI switching left]
[11.538s][680][[test]][AI switching right]
[11.764s][693][[test]][AI switching right]
[11.839s][698][[test]][AI switching right]
[11.938s][704][[test]][AI switching left]
[12.155s][717][[test]][AI switching left]
[12.272s][724][[test]][AI switching right]
[12.388s][731][[test]][AI switching left]
[12.488s][737][[test]][AI switching right]
[12.488s][737][[test]][onObjectCollision at pair(1429, 999)]
[12.671s][748][[test]][AI switching left]
[12.893s][761][[test]][AI switching left]
[12.959s][764][[test]][AI switching right]
[13.024s][768][[test]][AI switching right]
[13.242s][781][[test]][AI switching right]
[13.420s][792][[test]][AI switching left]
[13.503s][797][[test]][AI switching left]
[13.636s][805][[test]][AI switching left]
[13.752s][812][[test]][AI switching right]
[13.976s][825][[test]][AI switching right]
[14.060s][830][[test]][AI switching right]
[14.159s][836][[test]][AI switching left]
[14.379s][849][[test]][AI switching left]
[14.495s][856][[test]][AI switching right]
[14.607s][863][[test]][AI switching left]
[14.718s][869][[test]][AI switching right]
[14.892s][880][[test]][AI switching left]
[15.101s][893][[test]][AI switching left]
[15.164s][896][[test]][AI switching right]
[15.220s][900][[test]][AI switching right]
[15.434s][913][[test]][AI switching right]
[15.625s][924][[test]][AI switching left]
[15.708s][929][[test]][AI switching left]
[15.836s][937][[test]][AI switching left]
[15.955s][944][[test]][AI switching right]
[16.175s][957][[test]][AI switching right]
[16.252s][962][[test]][AI switching right]
[16.357s][968][[test]][AI switching left]
[16.569s][981][[test]][AI switching left]
[16.689s][988][[test]][AI switching right]
[16.806s][995][[test]][AI switching left]
[16.910s][1001][[test]][AI switching right]
[17.086s][1012][[test]][AI switching left]
[17.305s][1025][[test]][AI switching left]
[17.355s][1028][[test]][AI switching right]
[17.418s][1032][[test]][AI switching right]
[17.637s][1045][[test]][AI switching right]
[17.824s][1056][[test]][AI switching left]
[17.907s][1061][[test]][AI switching left]
[18.033s][1069][[test]][AI switching left]
[18.150s][1076][[test]][AI switching right]
[18.375s][1089][[test]][AI switching right]
[18.456s][1094][[test]][AI switching right]
[18.550s][1100][[test]][AI switching left]
[18.616s][1104][[test]][onObjectCollision at pair(911, 648)]
[18.769s][1113][[test]][AI switching left]
[18.888s][1120][[test]][AI switching right]
[19.004s][1127][[test]][AI switching left]
[19.098s][1133][[test]][AI switching right]
[19.280s][1144][[test]][AI switching left]
[19.505s][1157][[test]][AI switching left]
[19.554s][1160][[test]][AI switching right]
[19.624s][1164][[test]][AI switching right]
[19.833s][1177][[test]][AI switching right]
[20.014s][1188][[test]][AI switching left]
[20.097s][1193][[test]][AI switching left]
[20.234s][1201][[test]][AI switching left]
[20.275s][1203][[test]][onObjectCollision at pair(933, 627)]
[20.348s][1208][[test]][AI switching right]
[20.582s][1221][[test]][AI switching right]
[20.662s][1226][[test]][AI switching right]
[20.768s][1232][[test]][AI switching left]
[20.985s][1245][[test]][AI switching left]
[21.102s][1252][[test]][AI switching right]
[21.220s][1259][[test]][AI switching left]
[21.312s][1265][[test]][AI switching right]
[21.494s][1276][[test]][AI switching left]
[21.719s][1289][[test]][AI switching left]
[21.770s][1292][[test]][AI switching right]
[21.833s][1296][[test]][AI switching right]
[22.047s][1309][[test]][AI switching right]
[22.113s][1313][[test]][onObjectCollision at pair(900, 633)]
[22.228s][1320][[test]][AI switching left]
[22.288s][1323][[test]][onObjectCollision at pair(1463, 996)]
[22.316s][1325][[test]][AI switching left]
[22.444s][1333][[test]][AI switching left]
[22.560s][1340][[test]][AI switching right]
[22.780s][1353][[test]][AI switching right]
[22.863s][1358][[test]][AI switching right]
[22.969s][1364][[test]][AI switching left]
[23.179s][1377][[test]][AI switching left]
[23.298s][1384][[test]][AI switching right]
[23.426s][1391][[test]][AI switching left]
[23.526s][1397][[test]][AI switching right]
[23.723s][1408][[test]][AI switching left]
[23.791s][1412][[test]][onObjectCollision at pair(1466, 996)]
[23.950s][1421][[test]][AI switching left]
[24.002s][1424][[test]][AI switching right]
[24.065s][1428][[test]][AI switching right]
[24.282s][1441][[test]][AI switching right]
[24.464s][1452][[test]][AI switching left]
[24.547s][1457][[test]][AI switching left]
[24.681s][1465][[test]][AI switching left]
[24.799s][1472][[test]][AI switching right]
[25.015s][1485][[test]][AI switching right]
[25.100s][1490][[test]][AI switching right]
[25.201s][1496][[test]][AI switching left]
[25.282s][1501][[test]][onObjectCollision at pair(893, 627)]
[25.426s][1509][[test]][AI switching left]
[25.524s][1516][[test]][AI switching right]
[25.640s][1523][[test]][AI switching left]
[25.740s][1529][[test]][AI switching right]
[25.923s][1540][[test]][AI switching left]
[26.146s][1553][[test]][AI switching left]
[26.208s][1556][[test]][AI switching right]
[26.259s][1560][[test]][AI switching right]
[26.473s][1573][[test]][AI switching right]
[26.663s][1584][[test]][AI switching left]
[26.743s][1589][[test]][AI switching left]
[26.873s][1597][[test]][AI switching left]
[26.990s][1604][[test]][AI switching right]
[27.213s][1617][[test]][AI switching right]
[27.289s][1622][[test]][AI switching right]
[27.389s][1628][[test]][AI switching left]
[27.610s][1641][[test]][AI switching left]
[27.726s][1648][[test]][AI switching right]
[27.838s][1655][[test]][AI switching left]
[27.939s][1661][[test]][AI switching right]
[28.123s][1672][[test]][AI switching left]
[28.353s][1685][[test]][AI switching left]
[28.396s][1688][[test]][AI switching right]
[28.471s][1692][[test]][AI switching right]
[28.687s][1705][[test]][AI switching right]
[28.879s][1716][[test]][AI switching left]
[28.959s][1721][[test]][AI switching left]
[29.092s][1729][[test]][AI switching left]
[29.210s][1736][[test]][AI switching right]
[29.259s][1739][[test]][onObjectCollision at pair(1528, 1176)]
[29.427s][1749][[test]][AI switching right]
[29.508s][1754][[test]][AI switching right]
[29.609s][1760][[test]][AI switching left]
[29.672s][1763][[test]][onObjectCollision at pair(897, 630)]
[29.838s][1773][[test]][AI switching left]
[29.953s][1780][[test]][AI switching right]
[30.069s][1787][[test]][AI switching left]
[30.178s][1793][[test]][AI switching right]
[30.356s][1804][[test]][AI switching left]
[30.356s][1804][[test]][onObjectCollision at pair(1458, 999)]
[30.591s][1817][[test]][AI switching left]
[30.644s][1820][[test]][AI switching right]
[30.657s][1821][[test]][onObjectCollision at pair(1463, 996)]
[30.709s][1824][[test]][AI switching right]
[30.926s][1837][[test]][AI switching right]
[30.943s][1838][[test]][onObjectCollision at pair(1424, 1002)]
[31.105s][1848][[test]][AI switching left]
[31.189s][1853][[test]][AI switching left]
[31.328s][1861][[test]][AI switching left]
[31.441s][1868][[test]][AI switching right]
[31.659s][1881][[test]][AI switching right]
[31.744s][1886][[test]][AI switching right]
[31.841s][1892][[test]][AI switching left]
[32.023s][1903][[test]][onObjectCollision at pair(1487, 1011)]
[32.057s][1905][[test]][AI switching left]
[32.175s][1912][[test]][AI switching right]
[32.284s][1919][[test]][AI switching left]
[32.385s][1925][[test]][AI switching right]
[32.575s][1936][[test]][AI switching left]
[32.787s][1949][[test]][AI switching left]
[32.838s][1952][[test]][AI switching right]
[32.909s][1956][[test]][AI switching right]
[33.124s][1969][[test]][AI switching right]
[33.312s][1980][[test]][AI switching left]
[33.387s][1985][[test]][AI switching left]
[33.518s][1993][[test]][AI switching left]
[33.633s][2000][[test]][AI switching right]
[33.853s][2013][[test]][AI switching right]
[33.936s][2018][[test]][AI switching right]
[34.039s][2024][[test]][AI switching left]
[34.074s][2026][[test]][onObjectCollision at pair(894, 630)]
[34.249s][2037][[test]][AI switching left]
[34.377s][2044][[test]][AI switching right]
[34.486s][2051][[test]][AI switching left]
[34.589s][2057][[test]][AI switching right]
[34.770s][2068][[test]][AI switching left]
[34.988s][2081][[test]][AI switching left]
[35.043s][2084][[test]][AI switching right]
[35.101s][2088][[test]][AI switching right]
[35.315s][2101][[test]][AI switching right]
[35.497s][2112][[test]][AI switching left]
[35.580s][2117][[test]][AI switching left]
[35.713s][2125][[test]][AI switching left]
[35.830s][2132][[test]][AI switching right]
[36.046s][2145][[test]][AI switching right]
[36.130s][2150][[test]][AI switching right]
[36.236s][2156][[test]][AI switching left]
[36.464s][2169][[test]][AI switching left]
[36.587s][2176][[test]][AI switching right]
[36.696s][2183][[test]][AI switching left]
[36.796s][2189][[test]][AI switching right]
[36.862s][2193][[test]][onObjectCollision at pair(1439, 996)]
[36.994s][2200][[test]][AI switching left]
[37.211s][2213][[test]][AI switching left]
[37.262s][2216][[test]][AI switching right]
[37.336s][2220][[test]][AI switching right]
[37.546s][2233][[test]][AI switching right]
[37.738s][2244][[test]][AI switching left]
[37.820s][2249][[test]][AI switching left]
[37.952s][2257][[test]][AI switching left]
[38.067s][2264][[test]][AI switching right]
[38.289s][2277][[test]][AI switching right]
[38.368s][2282][[test]][AI switching right]
[38.482s][2288][[test]][AI switching left]
[38.700s][2301][[test]][AI switching left]
[38.814s][2308][[test]][AI switching right]
[38.927s][2315][[test]][AI switching left]
[39.027s][2321][[test]][AI switching right]
[39.169s][2329][[test]][onObjectCollision at pair(1468, 996)]
[39.210s][2332][[test]][AI switching left]
[39.428s][2345][[test]][AI switching left]
[39.483s][2348][[test]][AI switching right]
[39.551s][2352][[test]][AI switching right]
[39.768s][2365][[test]][AI switching right]
[39.951s][2376][[test]][AI switching left]
[40.033s][2381][[test]][AI switching left]
[40.133s][2387][[test]][onObjectCollision at pair(1458, 996)]
[40.169s][2389][[test]][AI switching left]
[40.250s][2394][[test]][onObjectCollision at pair(930, 627)]
[40.285s][2396][[test]][AI switching right]
[40.501s][2409][[test]][AI switching right]
[40.575s][2414][[test]][AI switching right]
[40.675s][2420][[test]][AI switching left]
[40.892s][2433][[test]][AI switching left]
[41.011s][2440][[test]][AI switching right]
[41.129s][2447][[test]][AI switching left]
[41.232s][2453][[test]][AI switching right]
[41.424s][2464][[test]][AI switching left]
[41.641s][2477][[test]][AI switching left]
[41.704s][2480][[test]][AI switching right]
[41.770s][2484][[test]][AI switching right]
[41.995s][2497][[test]][AI switching right]
[42.175s][2508][[test]][AI switching left]
[42.260s][2513][[test]][AI switching left]
[42.398s][2521][[test]][AI switching left]
[42.511s][2528][[test]][AI switching right]
[42.727s][2541][[test]][AI switching right]
[42.807s][2546][[test]][AI switching right]
[42.906s][2552][[test]][AI switching left]
[43.137s][2565][[test]][AI switching left]
[43.172s][2567][[test]][onObjectCollision at pair(910, 627)]
[43.264s][2572][[test]][AI switching right]
[43.356s][2578][[test]][onObjectCollision at pair(946, 630)]
[43.390s][2579][[test]][AI switching left]
[43.472s][2585][[test]][AI switching right]
[43.660s][2596][[test]][AI switching left]
[43.695s][2598][[test]][onObjectCollision at pair(899, 636)]
[43.878s][2609][[test]][AI switching left]
[43.931s][2612][[test]][AI switching right]
[43.961s][2614][[test]][onObjectCollision at pair(900, 630)]
[43.994s][2616][[test]][AI switching right]
[44.212s][2629][[test]][AI switching right]
[44.388s][2640][[test]][AI switching left]
[44.472s][2645][[test]][AI switching left]
[44.611s][2653][[test]][AI switching left]
[44.728s][2660][[test]][AI switching right]
[44.938s][2673][[test]][AI switching right]
[45.022s][2678][[test]][AI switching right]
[45.127s][2684][[test]][AI switching left]
[45.343s][2697][[test]][AI switching left]
[45.462s][2704][[test]][AI switching right]
[45.570s][2711][[test]][AI switching left]
[45.670s][2717][[test]][AI switching right]
[45.853s][2728][[test]][AI switching left]
[46.078s][2741][[test]][AI switching left]
[46.128s][2744][[test]][AI switching right]
[46.186s][2748][[test]][AI switching right]
[46.403s][2761][[test]][AI switching right]
[46.526s][2768][[test]][onObjectCollision at pair(937, 636)]
[46.594s][2772][[test]][AI switching left]
[46.676s][2777][[test]][AI switching left]
[46.822s][2785][[test]][AI switching left]
